[begin_FlightDyn]
title   {t(s),v(m/s),¦È(deg),¦×(deg),¦Øx(rad/s),¦Øy(rad/s),¦Øz(rad/s),¦Õa(deg),¦Õ2(deg),¦Ã(deg),x(m),y(m),z(m)}
output
{0,800,0.872665,0,1600,0,0,0.872665,0,0,0,0,0;
0.49,780.674,49.7769,0.00561932,1589.55,-0.00312074,-0.0125169,49.786,0.0509191,44772,249.476,296.152,0.0183994;
0.495,780.482,49.7746,0.00571536,1589.45,-0.00282699,-0.0132115,49.7823,0.0517794,45227.4,251.996,299.132,0.0187855;
0.5,780.289,49.7723,0.00581288,1589.34,-0.00217047,-0.013853,49.7784,0.0525032,45682.7,254.516,302.111,0.019178;
0.505,780.097,49.77,0.00591147,1589.24,-0.00122889,-0.0142374,49.7744,0.0529948,46138,257.035,305.09,0.0195771;
0.51,779.905,49.7677,0.00601055,1589.13,-0.000183923,-0.0142425,49.7703,0.0531969,46593.3,259.554,308.067,0.0199829;
0.515,779.713,49.7654,0.00610948,1589.03,0.000745632,-0.0138725,49.7663,0.0531112,47048.5,262.073,311.044,0.0203953;
0.52,779.521,49.763,0.00620769,1588.93,0.00138398,-0.0132559,49.7624,0.0527981,47503.7,264.591,314.02,0.0208143;
0.525,779.329,49.7607,0.00630481,1588.82,0.00166192,-0.0125968,49.7587,0.0523537,47958.9,267.108,316.994,0.0212398;
0.53,779.138,49.7584,0.00640065,1588.72,0.00164044,-0.0120995,49.7552,0.0518754,48414.1,269.625,319.969,0.0216718;
0.535,778.946,49.756,0.00649522,1588.62,0.00148585,-0.0118927,49.7517,0.0514271,48869.2,272.141,322.942,0.0221102;
0.54,778.754,49.7537,0.00658862,1588.51,0.00140617,-0.0119833,49.7483,0.0510169,49324.3,274.657,325.914,0.0225548;
0.545,778.563,49.7513,0.00668088,1588.41,0.00157246,-0.0122552,49.7448,0.0505973,49779.3,277.173,328.886,0.0230057;
0.55,778.372,49.749,0.00677191,1588.3,0.00205466,-0.0125144,49.7413,0.0500849,50234.4,279.688,331.857,0.0234626;
0.555,778.18,49.7467,0.0068614,1588.2,0.00279545,-0.0125623,49.7377,0.0493945,50689.4,282.202,334.827,0.0239256;
0.56,777.989,49.7443,0.00694893,1588.1,0.00363168,-0.0122704,49.7341,0.0484735,51144.3,284.716,337.796,0.0243945;
0.565,777.798,49.7419,0.00703399,1587.99,0.00435498,-0.0116286,49.7307,0.0473244,51599.3,287.229,340.764,0.0248691;
0.57,777.607,49.7396,0.00711615,1587.89,0.00478885,-0.010749,49.7275,0.0460065,52054.2,289.742,343.731,0.0253493;
0.575,777.416,49.7372,0.00719516,1587.79,0.00485334,-0.00982428,49.7245,0.0446168,52509.1,292.255,346.698,0.0258348;
0.58,777.225,49.7349,0.00727099,1587.68,0.00459359,-0.00905712,49.7218,0.0432576,52963.9,294.767,349.664,0.0263255;
0.585,777.035,49.7325,0.0073438,1587.58,0.00416174,-0.00858563,49.7193,0.042002,53418.8,297.278,352.629,0.0268211;
0.59,776.844,49.7301,0.00741385,1587.48,0.00375939,-0.0084339,49.7169,0.0408704,53873.5,299.789,355.593,0.0273214;
0.595,776.654,49.7278,0.0074814,1587.38,0.00356221,-0.00850511,49.7145,0.0398279,54328.3,302.3,358.556,0.0278262;
0.6,776.463,49.7254,0.00754656,1587.27,0.00365485,-0.00861958,49.712,0.0388009,54783,304.81,361.519,0.0283354;
0.605,776.273,49.723,0.00760929,1587.17,0.00400031,-0.00858333,49.7095,0.0377088,55237.8,307.319,364.48,0.0288489;
0.61,776.083,49.7207,0.00766939,1587.07,0.00445476,-0.00826142,49.7071,0.0364979,55692.4,309.828,367.441,0.0293663;
0.615,775.892,49.7183,0.00772661,1586.96,0.00482207,-0.00762871,49.7048,0.0351646,56147.1,312.337,370.401,0.0298876;
0.62,775.702,49.7159,0.00778073,1586.86,0.00492745,-0.00677949,49.7028,0.0337605,56601.7,314.845,373.36,0.0304126;
0.625,775.512,49.7135,0.00783171,1586.76,0.00468268,-0.00589256,49.701,0.0323757,57056.3,317.352,376.318,0.030941;
0.63,775.323,49.7112,0.0078797,1586.66,0.00411876,-0.00516517,49.6994,0.031109,57510.8,319.859,379.276,0.0314725;
0.635,775.133,49.7088,0.00792506,1586.55,0.00337414,-0.00474047,49.698,0.0300338,57965.4,322.366,382.232,0.0320072;
0.64,774.943,49.7064,0.00796824,1586.45,0.00264312,-0.00465566,49.6966,0.0291746,58419.9,324.872,385.188,0.0325447;
0.645,774.753,49.7041,0.00800967,1586.35,0.00210398,-0.00482974,49.6953,0.0285007,58874.3,327.377,388.143,0.0330849;
0.65,774.564,49.7017,0.0080497,1586.24,0.00185368,-0.00509525,49.6939,0.0279407,59328.8,329.882,391.097,0.0336277;
0.655,774.375,49.6994,0.00808847,1586.14,0.00187331,-0.00526182,49.6924,0.0274119,59783.2,332.387,394.051,0.034173;
0.66,774.185,49.697,0.00812599,1586.04,0.00203695,-0.00518769,49.6909,0.026853,60237.6,334.891,397.003,0.0347208;
0.665,773.996,49.6946,0.00816217,1585.94,0.00216024,-0.00483247,49.6894,0.0262485,60691.9,337.394,399.955,0.035271;
0.67,773.807,49.6923,0.00819695,1585.84,0.00207036,-0.00427184,49.6881,0.025636,61146.2,339.898,402.906,0.0358234;
